dover|Tue Feb 11 11:19:50 2020|9536458672467547:The Student|0|39|19|20|68 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:13 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:3:3:2:9 |logicalShift:3:3:2:6 |addOK:3:3:2:11 |bitMask:0:3:0:6 |logicalNeg:0:4:0:1 |floatScale2:0:4:0:0
dover|Tue Feb 11 14:19:14 2020|2802808643607609:What's in your Wallet|0|49|25|24|59 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:14 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:3:3:2:6 |addOK:3:3:2:6 |bitMask:3:3:2:6 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
dover|Tue Feb 11 14:34:12 2020|2802808643607609:Tennessee Whiskey|0|49|25|24|59 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:14 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:3:3:2:6 |addOK:3:3:2:6 |bitMask:3:3:2:6 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
dover|Tue Feb 11 17:38:19 2020|9536458672467547:Yessir|0|41|21|20|73 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:13 |oddBits:2:2:2:4 |floatNegate:2:2:0:11 |sign:2:2:2:4 |isAsciiDigit:3:3:2:9 |logicalShift:3:3:2:6 |addOK:3:3:2:11 |bitMask:0:3:0:0 |logicalNeg:0:4:0:1 |floatScale2:0:4:0:0
dover|Tue Feb 11 21:06:12 2020|3206976739279127:Me|0|58|30|28|91 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:17 |oddBits:2:2:2:4 |floatNegate:2:2:2:8 |sign:2:2:2:4 |isAsciiDigit:3:3:2:12 |logicalShift:3:3:2:6 |addOK:3:3:2:13 |bitMask:3:3:2:8 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
dover|Tue Feb 11 21:14:07 2020|3707364762783764:Tyson|0|48|24|24|67 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:16 |oddBits:2:2:2:4 |floatNegate:2:2:2:8 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:3:3:2:6 |addOK:0:3:0:0 |bitMask:3:3:2:9 |logicalNeg:4:4:2:6 |floatScale2:0:4:0:0
dover|Tue Feb 11 21:24:18 2020|2802808643607609:Bruce's Banner|0|53|27|26|67 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:14 |oddBits:2:2:2:4 |floatNegate:2:2:2:8 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:3:3:2:6 |addOK:3:3:2:6 |bitMask:3:3:2:6 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
dover|Wed Feb 12 14:26:37 2020|9536458672467547:Error 404|0|48|24|24|102 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:13 |oddBits:2:2:2:4 |floatNegate:2:2:2:10 |sign:2:2:2:4 |isAsciiDigit:3:3:2:9 |logicalShift:3:3:2:6 |addOK:3:3:2:11 |bitMask:3:3:2:7 |logicalNeg:0:4:0:1 |floatScale2:0:4:0:23
dover|Wed Feb 12 16:08:30 2020|2950535602960844:Tony Stark|0|38|18|20|58 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:15 |oddBits:2:2:2:4 |floatNegate:0:2:0:2 |sign:2:2:2:4 |isAsciiDigit:3:3:2:7 |logicalShift:0:3:0:5 |addOK:3:3:2:7 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Wed Feb 12 16:50:10 2020|2950535602960844:Tony Stark|0|43|21|22|64 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:15 |oddBits:2:2:2:4 |floatNegate:0:2:0:2 |sign:2:2:2:4 |isAsciiDigit:3:3:2:7 |logicalShift:0:3:0:5 |addOK:3:3:2:7 |bitMask:3:3:2:6 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
