houser-2015.campus.bowdoin.edu|Thu Sep 19 16:15:18 2019|yxi:John Doe|0|27|11|16|26 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:2:2:2:2 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Thu Sep 19 16:52:21 2019|khancock:jimmy_neutron|0|36|18|18|66 |maxVal:0:1:0:0 |negCheck:0:1:0:1 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:8 |setThirdBits:0:2:0:1 |byteExtract:2:2:2:3 |bitFit:2:2:2:10 |byteSwitch:2:2:2:20 |addOverflow:3:3:2:6 |shiftLogical:3:3:2:6 |not:3:3:2:5 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Fri Sep 20 00:35:16 2019|lfriel:jane doe|0|32|14|18|48 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:2:2:2:15 |addOverflow:3:3:2:9 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Fri Sep 20 00:42:40 2019|lfriel:jane doe|0|32|14|18|53 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:2:2:2:15 |addOverflow:3:3:2:9 |shiftLogical:0:3:0:5 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Fri Sep 20 01:18:04 2019|lfriel:jane doe|0|37|17|20|54 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:2:2:2:15 |addOverflow:3:3:2:9 |shiftLogical:3:3:2:6 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Fri Sep 20 09:18:51 2019|gslangan:Puzzler|0|15|5|10|17 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Fri Sep 20 09:27:41 2019|lfriel:jane doe|0|42|20|22|60 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:2:2:2:15 |addOverflow:3:3:2:9 |shiftLogical:3:3:2:6 |not:3:3:2:6 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Fri Sep 20 09:56:56 2019|khancock:jimmy_neutron|0|41|21|20|71 |maxVal:0:1:0:0 |negCheck:0:1:0:1 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:8 |setThirdBits:0:2:0:1 |byteExtract:2:2:2:3 |bitFit:2:2:2:10 |byteSwitch:2:2:2:20 |addOverflow:3:3:2:6 |shiftLogical:3:3:2:6 |not:3:3:2:5 |signMagnitude:3:3:2:5 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Fri Sep 20 11:00:23 2019|saharder:AngryPenguin|0|33|15|18|40 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:6 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:3:3:2:8 |shiftLogical:0:3:0:0 |not:3:3:2:6 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Fri Sep 20 11:36:45 2019|saharder:AngryPenguin|0|38|18|20|49 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:6 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:3:3:2:8 |shiftLogical:0:3:0:0 |not:3:3:2:6 |signMagnitude:3:3:2:9 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
